,parameter_stable_id,external_sample_id,date_of_birth,experiment_source_id,sex,colony_id,download_url,jpeg_url,allele_symbol
0,IMPC_EYE_050_001,K57074,2015-01-05T00:00:00Z,Eye Morphology - K57074 - 379417,female,JR25640,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702184,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702184,Rrp8<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,K20616,2014-05-29T00:00:00Z,Eye Morphology - K20616 - 266160,male,JR23060,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699481,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699481,Tmem151b<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,J32546,2016-01-31T00:00:00Z,Eye Morphology - J32546 - 811182,female,JR27571,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702001,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702001,Serpina3n<em1(IMPC)J>
0,IMPC_EYE_050_001,K44700,2014-10-30T00:00:00Z,Eye Morphology - K44700 - 338671,male,JR24411,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700018,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700018,Slc1a1<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,K53835,2014-12-25T00:00:00Z,Eye Morphology - K53835 - 365454,male,JR21936,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700992,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700992,Wars2<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,J16419,2015-10-27T00:00:00Z,Eye Morphology - J16419 - 686255,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700813,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700813,
0,IMPC_EYE_050_001,K22940,2014-06-13T00:00:00Z,Eye Morphology - K22940 - 280289,male,JR24035,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701650,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701650,Cyb5d2<tm1.1(KOMP)Wtsi>
0,IMPC_EYE_050_001,K31038,2014-08-12T00:00:00Z,Eye Morphology - K31038 - 297171,male,JR24185,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699428,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699428,Nes<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,K92853,2015-07-07T00:00:00Z,Eye Morphology - K92853 - 535219,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702343,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702343,
0,IMPC_EYE_050_001,K98853,2015-08-16T00:00:00Z,Eye Morphology - K98853 - 594592,male,JR26443,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702483,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702483,Gpr183<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,J18398,2015-11-20T00:00:00Z,Eye Morphology - J18398 - 710608,male,JR26545,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701737,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701737,Hoxc12<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,K77280,2015-04-28T00:00:00Z,Eye Morphology - K77280 - 444748,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700241,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700241,
0,IMPC_EYE_050_001,K69419,2015-03-31T00:00:00Z,Eye Morphology - K69419 - 428067,male,JR25266,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701506,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701506,Gjd4<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,C9358,2013-10-07T00:00:00Z,Eye Morphology - C9358 - 138050,female,JR18634,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701970,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701970,Htr1b<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,J19339,2015-11-23T00:00:00Z,Eye Morphology - J19339 - 722795,female,JR26839,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701908,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701908,Ap4e1<em1(IMPC)J>
0,IMPC_EYE_050_001,J12402,2015-10-18T00:00:00Z,Eye Morphology - J12402 - 675959,female,JR26484,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701714,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701714,Tmem79<tm1.1(KOMP)Wtsi>
0,IMPC_EYE_050_001,J47299,2016-04-30T00:00:00Z,Eye Morphology - J47299 - 924381,female,JR27695,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/1356495,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/1356495,Mrpl3<em1(IMPC)J>
0,IMPC_EYE_050_001,J48149,2016-05-08T00:00:00Z,Eye Morphology - J48149 - 919567,male,JR27218,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/1356507,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/1356507,Thsd7a<tm1b(KOMP)Mbp>
0,IMPC_EYE_050_001,K10256,2014-03-19T00:00:00Z,Eye Morphology - K10256 - 223793,male,JR22097,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699293,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699293,Foxo3<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,K87629,2015-07-01T00:00:00Z,Eye Morphology - K87629 - 538549,male,JR26489,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699296,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699296,Ypel1<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,K81876,2015-05-05T00:00:00Z,Eye Morphology - K81876 - 468716,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701784,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701784,
0,IMPC_EYE_050_001,K17772,2014-05-03T00:00:00Z,Eye Morphology - K17772 - 259026,male,JR18604,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702476,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702476,Col18a1<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,K28649,2014-07-15T00:00:00Z,Eye Morphology - K28649 - 288965,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701606,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701606,
0,IMPC_EYE_050_001,K34813,2014-08-25T00:00:00Z,Eye Morphology - K34813 - 304380,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701359,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701359,
0,IMPC_EYE_050_001,K49504,2014-11-16T00:00:00Z,Eye Morphology - K49504 - 349589,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700228,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700228,
0,IMPC_EYE_050_001,K41069,2014-10-11T00:00:00Z,Eye Morphology - K41069 - 333274,female,JR24406,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701960,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701960,Timm22<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,K24265,2014-06-26T00:00:00Z,Eye Morphology - K24265 - 276117,male,JR24325,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701565,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701565,A1cf<tm1b(EUCOMM)Hmgu>
0,IMPC_EYE_050_001,K68742,2015-03-10T00:00:00Z,Eye Morphology - K68742 - 417549,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700213,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700213,
0,IMPC_EYE_050_001,J15705,2015-11-07T00:00:00Z,Eye Morphology - J15705 - 698632,male,JR22102,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700457,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700457,Rad21l<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,K7520,2014-03-13T00:00:00Z,Eye Morphology - K7520 - 215782,male,JR23021,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701430,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701430,Lrrc15<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,D49703,2020-11-25T00:00:00Z,Eye Morphology - D49703 - 3109864,female,JR34666,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/1279628,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/1279628,Lysmd1<em1(IMPC)J>
0,IMPC_EYE_050_001,J15380,2015-10-20T00:00:00Z,Eye Morphology - J15380 - 674152,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699095,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699095,
0,IMPC_EYE_050_001,J41094,2016-03-08T00:00:00Z,Eye Morphology - J41094 - 854998,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700440,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700440,
